Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C29, C32, C4",0603,5,0.1uf,
"C10, C11, C7, C8, C9",1210,5,22uf,
"C12, C13",CP_Radial_D10.0mm_P5.00mm,2,470uf,
"C14, C15",CP_Radial_D16.0mm_P7.50mm,2,1000uf,
"C16, C17, C18, C19",1206,4,10uf,
"C20, C21, C22, C23, C24, C25, C26, C30, C31",0603,9,0.1u,
C27,0603,1,0.47u,
C28,0603,1,1uf,
C3,0603,1,820pF,
C5,0603,1,47pF,
C6,0603,1,4.7nF,
"D1, D2, D22, D27, D28, D29, D3, D30, D4",SOD-123FL,9,SS2040FL,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D21, D23, D24, D25, D26, D5, D6, D7, D8, D9",0603,21,LED,
IC1,RGY0020B,1,LM25145RGYR,
IC2,SOIC127P600X175-8N,1,MCP2562,
"J1, J10, J16, J17, J18, J19, J2, J9",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,8,xh2pin,
"J11, J12, J13, J15",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,4,Conn_01x03,
J14,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,1,Conn_01x02,
"J3, J4",PV_3,2,Conn_01x01_Pin,
"J5, J6, J8",JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,3,Conn_01x04,
J7,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
JP1,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,Jumper_2_Open,
L1,177CDMCCDS-3R3MC,1,3.3uH,
"Q1, Q10, Q11, Q2, Q5, Q6, Q8, Q9",SOT-23,8,IRFML8244TRPBFTR,
Q3,SOP_Advance,1,"TPH7R506NH,L1Q",
Q4,SOP_Advance,1,"TPH2R306NH1,LQ",
Q7,TSON Advance,1,TPN1R603PL,
"R1, R13, R16, R18, R2, R20, R21, R23, R24, R25, R26, R27, R28, R29, R30, R31, R49, R5, R51, R56, R57, R58, R59, R6, R64, R65, R66, R67, R8",0603,29,10k,
R10,0603,1,21k,
R11,0603,1,1.5k,
"R12, R19, R22, R3, R4, R50, R60, R61, R62, R63",0603,10,100,
R14,0603,1,22k,
R15,0603,1,2.2,
R17,0603,1,120,
"R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R52, R53, R54, R55",0603,21,1k,
R7,0603,1,390,
R9,0603,1,20k,
SW1,switch_TVAF06-A020B-R,1,SW_Push,
"U1, U5",SOIC-16_4.55x10.3mm_P1.27mm,2,TLP293-4,
U2,SOIC-4_4.55x2.6mm_P1.27mm,1,TLP293,
U3,LQFP-32_7x7mm_P0.8mm,1,STM32G431K8Tx,
U4,SOT-23-5_HandSoldering,1,NJM12888F33,
U6,TO-252-2,1,NJM7805SDL1,
U8,SSOP-16_3.9x4.9mm_P0.635mm,1,ISO6540FQDBQRQ1,
