Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6",0805,2,10uf,
"C10, C3, C4, C5, C8, C9",1210,6,10uf,
"C11, C12, C13, C14",CP_Radial_D10.0mm_P5.00mm,4,470uf,
"C2, C7",0603,2,10n,
"C20, C21, C22, C23, C24, C25, C26",0603,7,0.1u,
C27,0603,1,0.47u,
C28,0603,1,1uf,
C29,0603,1,0.1uf,
"D1, D10, D2, D27, D28, D29, D3, D30, D4, D9",SOD-123FL,10,SS2040FL,
"D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D21, D22, D24, D25, D26, D5, D6, D7, D8",0603,19,LED,
"F1, F2",1206,2,SF-1206FP100-2,
IC2,SOIC127P600X175-8N,1,MCP2562,
"J1, J10, J16, J17, J18, J19, J2, J9",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,8,xh2pin,
"J3, J4",PV_3,2,Conn_01x01_Pin,
"J5, J6, J8",JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,3,Conn_01x04,
J7,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
JP1,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,Jumper_2_Open,
"L1, L2",L_Taiyo-Yuden_MD-5050,2,10uH,
"Q1, Q10, Q11, Q2, Q5, Q6, Q8, Q9",TSOP6F,8,SSM6K819R,
"R1, R16, R18, R2, R20, R21, R23, R5, R56, R57, R58, R59, R6, R64, R65, R66, R67",0603,17,10k,
"R10, R7",0603,2,47k,
"R11, R8",0603,2,2.4k,
"R12, R9",0603,2,2.2k,
"R13, R14, R15, R24, R32, R33, R34, R35, R40, R42, R43, R44, R45, R46, R47, R48, R53, R54, R55",0603,19,1k,
R17,0603,1,120,
"R19, R22, R3, R4, R60, R61, R62, R63",0603,8,100,
SW1,switch_TVAF06-A020B-R,1,SW_Push,
"U1, U5",SOIC-16_4.55x10.3mm_P1.27mm,2,TLP293-4,
"U2, U7",SOT-89-5_Handsoldering,2,NJW4132U2-B,
U3,LQFP-32_7x7mm_P0.8mm,1,STM32G431K8Tx,
U4,SOT-23-5_HandSoldering,1,NJM12888F33,
U6,TO-252-2,1,NJM7812SDL1,
