Designator,Mid X,Mid Y,Rotation,Layer
C1,92.35,-53.1,180.0,top
C10,79.1875,-38.85,180.0,top
C11,93.3,-24.6,180.0,top
C12,78.3,-24.6,180.0,top
C13,77.317677,-60.5,180.0,top
C14,92.317677,-60.5,180.0,top
C2,92.8,-43.0,0.0,top
C20,49.4,-65.4,0.0,top
C21,37.8,-57.3375,90.0,top
C22,51.6,-76.8,180.0,top
C23,39.6,-55.5375,90.0,top
C24,38.0,-70.6,90.0,top
C25,48.0625,-72.8,0.0,top
C26,30.75,-81.6625,270.0,top
C27,37.15,-81.8,270.0,top
C28,65.6,-48.9,180.0,top
C29,62.2,-48.9,0.0,top
C3,94.2,-32.25,180.0,top
C4,94.1875,-35.55,180.0,top
C5,94.1875,-38.85,180.0,top
C6,77.35,-53.1,180.0,top
C7,77.8,-43.0,0.0,top
C8,79.2,-32.25,180.0,top
C9,79.1875,-35.55,180.0,top
D1,23.3,-26.45,90.0,top
D10,80.75,-42.75,270.0,top
D11,102.9,-29.4,180.0,top
D12,102.9,-34.4,180.0,top
D13,61.6,-81.6,90.0,top
D14,102.8,-60.5,0.0,top
D15,63.2,-81.6,90.0,top
D16,23.8,-81.4875,90.0,top
D17,25.4,-81.4875,90.0,top
D18,44.2,-81.4875,90.0,top
D19,45.8,-81.4875,90.0,top
D2,23.4,-36.6,90.0,top
D20,47.4,-81.4875,90.0,top
D21,30.6,-60.0,0.0,top
D22,102.8,-63.6,0.0,top
D24,30.6,-61.6,0.0,top
D25,30.6,-63.2,0.0,top
D26,30.6,-64.8,0.0,top
D27,44.6,-29.0,90.0,top
D28,44.6,-34.0,90.0,top
D29,29.2,-41.6,180.0,top
D3,23.3,-46.6,90.0,top
D30,44.6,-38.6,270.0,top
D4,23.3,-55.1,90.0,top
D5,18.125,-60.0,0.0,top
D6,18.125,-61.6,0.0,top
D7,18.125,-63.2,0.0,top
D8,18.125,-64.8,0.0,top
D9,95.75,-42.75,270.0,top
F1,100.0,-67.7,180.0,top
F2,100.0,-71.6,180.0,top
IC2,42.6,-70.8,0.0,top
J1,19.2,-27.1,270.0,top
J10,19.2,-52.75,270.0,top
J16,30.45,-29.4,0.0,top
J17,39.05,-29.4,0.0,top
J18,30.45,-36.4,0.0,top
J19,39.05,-36.4,0.0,top
J2,19.2,-35.65,270.0,top
J3,89.0,-87.5,0.0,top
J4,70.0,-87.7,0.0,top
J5,29.6,-75.15,0.0,bottom
J6,43.2,-75.15,0.0,bottom
J7,55.6,-79.01,0.0,top
J8,25.05,-65.4,90.0,bottom
J9,19.2,-44.2,270.0,top
L1,97.2,-48.4,90.0,top
L2,82.2,-48.4,90.0,top
Q1,24.1,-21.85,0.0,top
Q10,34.85,-42.2,180.0,top
Q11,51.195,-38.95,180.0,top
Q2,24.1,-32.1,0.0,top
Q5,24.4,-42.05,0.0,top
Q6,24.41,-50.6,0.0,top
Q8,51.19,-31.45,180.0,top
Q9,51.2,-35.2,180.0,top
R1,46.8,-55.6,90.0,top
R10,77.8,-41.4,180.0,top
R11,75.2,-42.0,270.0,top
R12,73.6,-42.0,270.0,top
R13,99.5,-29.4,0.0,top
R14,99.5,-34.4,0.0,top
R15,102.8,-57.3,0.0,top
R16,47.6,-67.2,180.0,top
R17,34.0,-72.0,0.0,top
R18,43.6,-55.6,90.0,top
R19,25.3,-46.8,90.0,top
R2,45.2,-55.6,90.0,top
R20,26.9,-46.8,90.0,top
R21,42.0,-55.6,90.0,top
R22,25.3,-54.1,90.0,top
R23,26.9,-54.1,90.0,top
R24,102.8,-55.7,0.0,top
R3,25.3,-25.6,90.0,top
R32,21.525,-60.0,180.0,top
R33,21.525,-61.6,180.0,top
R34,21.525,-63.2,180.0,top
R35,21.525,-64.8,180.0,top
R4,25.3,-35.6,90.0,top
R40,61.6,-78.2,270.0,top
R42,63.2,-78.2,270.0,top
R43,23.8,-78.0875,270.0,top
R44,25.4,-78.0875,270.0,top
R45,44.2,-78.0875,270.0,top
R46,45.8,-78.0875,270.0,top
R47,47.4,-78.0875,270.0,top
R48,34.0,-60.0,180.0,top
R5,23.894241,-29.4,180.0,top
R53,34.0,-61.6,180.0,top
R54,34.0,-63.2,180.0,top
R55,34.0,-64.8,180.0,top
R56,46.001,-51.3,180.0,top
R57,42.601,-51.3,180.0,top
R58,39.201,-51.3,180.0,top
R59,46.8,-53.0,180.0,top
R6,23.9,-39.45,180.0,top
R60,48.4,-31.6,90.0,top
R61,48.4,-35.2,90.0,top
R62,32.1,-42.3,90.0,top
R63,48.4,-38.8,90.0,top
R64,46.845,-31.6,270.0,top
R65,46.845,-35.2,270.0,top
R66,29.6,-43.75,180.0,top
R67,46.845,-38.8,270.0,top
R7,92.8,-41.4,180.0,top
R8,90.2,-42.0,270.0,top
R9,88.6,-42.0,270.0,top
SW1,51.6,-83.25,0.0,top
U1,32.2,-50.1,90.0,top
U2,91.7,-48.0,90.0,top
U3,42.4,-62.5,90.0,top
U4,33.95,-81.8,180.0,top
U5,42.8,-46.2,0.0,top
U6,63.9,-56.115,270.0,top
U7,76.7,-48.0,90.0,top
